binned_RP1,binned_IP1,binned_WP1,binned_RP2,binned_IP2,binned_WP2,binned_RP3,binned_IP3,binned_WP3,Yield_max,TWoP
"(30.487, 32.782]","(26307.966, 27498.474]","(13.619, 15.535]","(1.728, 3.724]","(13002.937, 14434.652]","(19.152, 21.309]","(0.219, 1.898]","(16991.383, 18066.412]","(2.898, 4.921]",334.0,147.0
"(15.263, 16.26]","(14386.418, 15386.752]","(15.535, 17.426]","(38.038, 39.82]","(28704.074, 29905.06]","(21.309, 22.843]","(15.385, 16.724]","(15159.435, 15851.919]","(6.5, 8.05]",23052.0,5634.0
"(2.327, 4.058]","(15386.752, 16071.688]","(8.168, 9.531]","(29.325, 30.945]","(26872.869, 28027.804]","(25.931, 27.817]","(10.853, 12.936]","(19186.778, 19989.86]","(8.05, 9.597]",21853.0,4377.0
"(32.782, 34.389]","(15386.752, 16071.688]","(27.351, 28.794]","(32.55, 33.545]","(11038.402, 11772.474]","(15.135, 16.921]","(18.602, 19.94]","(23524.053, 25022.682]","(15.67, 16.83]",5871.0,952.0
"(13.292, 15.263]","(10042.609, 11034.201]","(20.4, 22.113]","(38.038, 39.82]","(16253.196, 17749.48]","(24.328, 25.25]","(4.359, 6.303]","(10034.119, 10495.754]","(22.373, 24.282]",8008.0,2036.0
"(20.44, 22.66]","(13119.594, 14386.418]","(8.168, 9.531]","(9.37, 11.317]","(14434.652, 15210.697]","(11.406, 12.588]","(4.359, 6.303]","(13873.478, 15159.435]","(24.282, 25.735]",7307.0,1704.0
"(36.458, 38.353]","(16071.688, 17198.684]","(28.794, 29.98]","(24.99, 26.706]","(19972.327, 20981.91]","(7.035, 9.34]","(12.936, 15.385]","(16991.383, 18066.412]","(0.039, 1.68]",20814.0,4422.0
"(0.169, 2.327]","(15386.752, 16071.688]","(0.259, 1.64]","(9.37, 11.317]","(11772.474, 13002.937]","(21.309, 22.843]","(6.303, 8.736]","(22499.006, 23524.053]","(27.209, 29.083]",0.0,2.0
"(20.44, 22.66]","(28943.995, 29975.86]","(18.838, 20.4]","(24.99, 26.706]","(16253.196, 17749.48]","(19.152, 21.309]","(15.385, 16.724]","(15851.919, 16991.383]","(22.373, 24.282]",16782.0,3413.0
"(15.263, 16.26]","(10042.609, 11034.201]","(2.819, 5.068]","(17.672, 19.56]","(21509.223, 22466.49]","(24.328, 25.25]","(34.864, 36.24]","(19186.778, 19989.86]","(27.209, 29.083]",21976.0,4594.0
"(11.512, 13.292]","(18069.604, 19205.184]","(22.113, 23.54]","(3.724, 6.211]","(14434.652, 15210.697]","(19.152, 21.309]","(10.853, 12.936]","(16991.383, 18066.412]","(9.597, 10.77]",824.0,203.0
"(16.26, 18.142]","(20333.54, 21495.298]","(27.351, 28.794]","(29.325, 30.945]","(24705.013, 25267.247]","(11.406, 12.588]","(21.996, 24.384]","(25022.682, 26000.772]","(6.5, 8.05]",25681.0,5633.0
"(18.142, 20.44]","(13119.594, 14386.418]","(7.036, 8.168]","(6.211, 7.396]","(17749.48, 19080.122]","(9.34, 10.72]","(6.303, 8.736]","(26000.772, 26517.227]","(6.5, 8.05]",17535.0,3403.0
