hidden_layer_sizes,alpha,batch_size,learning_rate_init,max_iter,beta_1,beta_2,epsilon,n_iter_no_change,explained_variance_max,max_error
15.0,0.005,1024.0,0.1,300.0,0.9,0.99,0.01,5.0,0.004243752667646983,0.6655093807021439
12.0,0.005,32.0,0.1,300.0,0.9,0.996,0.0001,20.0,2.2204460492503126e-17,0.5966576280728806
27.0,0.05,128.0,0.1,300.0,0.9,0.996,1e-06,20.0,0.00031108864211308867,0.6210632398251577
3.0,0.01,128.0,0.01,500.0,0.96,0.99,0.1,20.0,4.440892098500625e-17,0.6064108351622652
18.0,0.01,32.0,1.0,300.0,0.9,0.993,0.01,10.0,2.2204460492503126e-17,0.685755887713094
15.0,0.0005,512.0,1.0,200.0,0.9,0.996,1e-06,20.0,0.0,0.6039970724085186
3.0,0.001,256.0,0.01,100.0,0.96,0.99,0.1,10.0,4.440892098500625e-17,0.6059431370059603
3.0,0.05,512.0,1.0,500.0,0.93,0.9990000000000001,0.01,5.0,3.330669073875469e-17,0.6034992298936459
21.0,0.0005,32.0,0.01,200.0,0.93,0.993,0.0001,10.0,6.661338147750939e-17,0.6007416483236179
3.0,0.05,1024.0,0.01,50.0,0.99,0.993,0.1,20.0,1.1102230246251566e-17,0.5559041798084178
9.0,0.005,64.0,1.0,200.0,0.93,0.993,1e-08,5.0,1.1102230246251566e-17,0.6384590414141663
9.0,0.05,256.0,0.1,300.0,0.96,0.993,0.01,10.0,2.2108714858859455e-11,0.6020905739412713
15.0,0.0005,64.0,0.01,200.0,0.93,0.993,1e-06,20.0,0.057741519264057996,0.6103336458394335
27.0,0.01,32.0,1.0,500.0,0.96,0.996,0.0001,20.0,3.330669073875469e-17,0.6110986274137564
3.0,0.01,32.0,1.0,50.0,0.9,0.996,0.0001,5.0,4.440892098500625e-17,0.6492007383744027
12.0,0.01,1024.0,0.1,50.0,0.9,0.993,1e-06,5.0,0.03076681629565185,0.9265411318359176
21.0,0.0005,32.0,0.1,100.0,0.9,0.993,0.1,10.0,3.1074352913273984e-05,0.5929133526680705
3.0,0.0001,128.0,1.0,200.0,0.9,0.99,0.0001,5.0,1.2212453270876723e-16,0.6821277751372703
3.0,0.01,64.0,1.0,500.0,0.96,0.9990000000000001,0.01,20.0,5.551115123125783e-17,0.5935585405401267
3.0,0.001,512.0,0.01,100.0,0.96,0.99,1e-06,10.0,0.5370329630335327,0.9355604253385356
15.0,0.05,64.0,0.01,100.0,0.99,0.99,0.1,5.0,3.330669073875469e-17,0.602375903469246
18.0,0.05,512.0,0.1,100.0,0.9,0.9990000000000001,0.1,20.0,0.19815612815241854,0.9920674518330288
18.0,0.0001,128.0,1.0,500.0,0.9,0.99,1e-06,10.0,2.2204460492503126e-17,0.6071216745313386
27.0,0.005,256.0,0.1,50.0,0.99,0.996,0.1,10.0,0.003186817813829024,0.6879004807872142
27.0,0.0005,64.0,0.1,500.0,0.93,0.996,0.01,5.0,0.0002151175287941176,0.6126727639386427
6.0,0.01,64.0,0.1,500.0,0.99,0.996,0.0001,5.0,0.004536372610191497,0.7095620048377331
12.0,0.0005,256.0,1.0,500.0,0.99,0.996,1e-06,10.0,7.771561172376094e-17,0.6994261345491818
3.0,0.005,64.0,0.001,200.0,0.9,0.993,1e-08,5.0,5.626953834214632e-07,0.6031227487687831
6.0,0.005,32.0,1.0,500.0,0.99,0.9990000000000001,0.0001,20.0,3.330669073875469e-17,0.6143607665937993
3.0,0.005,256.0,0.1,50.0,0.93,0.996,0.0001,20.0,7.771561172376094e-17,0.6058498323813677
27.0,0.05,32.0,1.0,300.0,0.93,0.993,0.1,20.0,5.551115123125783e-17,0.6274012195098683
3.0,0.01,64.0,0.01,200.0,0.99,0.993,0.1,20.0,3.330669073875469e-17,0.6053832029024552
12.0,0.005,32.0,0.1,200.0,0.93,0.99,1e-06,20.0,1.1102230246251566e-17,0.6152365451949373
3.0,0.005,64.0,1.0,100.0,0.93,0.993,1e-08,20.0,0.0004684361260437253,0.6225558677717611
12.0,0.001,512.0,0.1,50.0,0.99,0.996,0.0001,10.0,9.846500346061272e-05,0.5989935229689398
9.0,0.05,1024.0,1.0,200.0,0.93,0.9990000000000001,1e-08,20.0,3.330669073875469e-17,0.6048200233072516
3.0,0.005,128.0,0.01,100.0,0.9,0.993,1e-06,5.0,2.2204460492503126e-17,0.6041689304087146
24.0,0.01,64.0,0.1,300.0,0.9,0.99,1e-08,10.0,3.988999131010473e-11,0.604798538288724
18.0,0.05,128.0,0.1,200.0,0.96,0.9990000000000001,0.1,10.0,3.338915977035839e-08,0.6136891196799222
6.0,0.001,128.0,1.0,500.0,0.9,0.99,1e-08,20.0,2.2204460492503126e-17,0.6120157612260657
3.0,0.01,256.0,0.01,500.0,0.99,0.9990000000000001,0.01,10.0,1.1102230246251566e-17,0.617890695169198
